Bang 1: Cac he so a, b, c
Method                                       a                        b                       c
---------------------  -----------------------  -----------------------  ----------------------
Lr-inverse              2.9190183304584724e-07  -0.018091473212358267    0.30069586137312854
Lr-gauss-jordan         2.919018330458501e-07   -0.018091473212326948    0.3006958613732858
Lr-cramer               2.919018330458436e-07   -0.018091473212295678    0.3006958613736517
Lr-svd                  2.9190183304582723e-07  -0.018091473212309132    0.3006958613728906
Lr-lu                   2.9190183304585306e-07  -0.01809147321233368     0.3006958613734178
Lr-ridge                2.919015583147345e-07   -0.01809083933765896     0.30068341311669106
Lr-cholesky             2.758886375243087e-07   -0.002865352689409764    0.30069586137317067
Lr-conjugate-gradient  -1.3001786246093253e-16   1.1877599477348003e-08  6.339741687050096e-09
Lr-gauss-seidel         2.716439377590441e-15    1.0328032036568207e-08  2.0231284446910934e-08

Bang 1: Cac he so a, b, c
Method                                     a                        b                       c
---------------------  ---------------------  -----------------------  ----------------------
Lr-cramer              8.696184719544176e-08  -0.005542327945329592    0.0929617127134941
Lr-svd                 8.696184719564683e-08  -0.005542327945723506    0.09296171272163832
Lr-inverse             8.696184719544222e-08  -0.005542327945310177    0.09296171271364528
Lr-gauss-jordan        8.696184719544431e-08  -0.005542327945318171    0.09296171271386625
Lr-lu                  8.696184719544211e-08  -0.00554232794531304     0.09296171271376528
Lr-ridge               8.696184075171142e-08  -0.005542313094758994    0.09296142103281081
Lr-cholesky            8.217064627482699e-08  -0.000834960768419303    0.09296171271387872
Lr-conjugate-gradient  5.883416597737073e-18   3.294074505796749e-09   7.116903495240118e-09
Lr-gauss-seidel        2.619782770509218e-15   2.5293780417024673e-09  4.9477208483921985e-09

Bang 1: Cac he so a, b, c
Method                                     a                        b                       c
---------------------  ---------------------  -----------------------  ----------------------
Lr-svd                 9.833572166555043e-08  -0.11372731402307246     2.515092731945506
Lr-gauss-jordan        9.833572169458003e-08  -0.11372731461338641     2.5150927457209122
Lr-lu                  9.833572169457052e-08  -0.11372731461319266     2.515092745716391
Lr-cramer              9.833572173189452e-08  -0.11372731529891719     2.5150927503826335
Lr-inverse             9.83357217312561e-08   -0.11372731591109186     2.5150927496142685
Lr-ridge               9.825392936233975e-08  -0.11206516344211048     2.4763069722681803
Lr-cholesky            8.827939635421147e-08  -0.005947411790735003    2.515092744389776
Lr-conjugate-gradient  4.332362284946625e-17   2.407857175551405e-09   2.6896325894589998e-08
Lr-gauss-seidel        1.84314762585565e-15    1.0948105885719368e-09  1.7887947250619706e-09

Bang 1: Cac he so a, b, c
Method                                      a                        b                        c
---------------------  ----------------------  -----------------------  -----------------------
Lr-lu                  1.1352056757569159e-07  -0.7025088418131737      16.84515992163142
Lr-gauss-jordan        1.1352056757777586e-07  -0.7025088418994363      16.845159923734677
Lr-svd                 1.1352056967391649e-07  -0.7025089286441049      16.845162038728372
Lr-cramer              1.1352056107972902e-07  -0.7025085880128156      16.845153277979126
Lr-inverse             1.1352056109026343e-07  -0.7025085212662816      16.845156148076057
Lr-ridge               1.082496385001357e-07   -0.4843763463689401      11.526683338135722
Lr-conjugate-gradient  2.0356326213038418e-16  -5.160604539840749e-09    2.1287266654837734e-07
Lr-gauss-seidel        1.4908133168200978e-15   2.7441233950484157e-11   4.266747701552206e-11
Lr-cholesky            9.186771669695757e-08   -0.011624529123306452    16.845159962647067

Bang 1: Cac he so a, b, c
Method                                      a                        b                        c
---------------------  ----------------------  -----------------------  -----------------------
Lr-svd                 3.247198350813824e-07   -9.254607156641292       225.10282562947555
Lr-gauss-jordan        3.2471983717619614e-07  -9.254607242515107       225.10282772208885
Lr-lu                  3.2471983706137596e-07  -9.254607237807287       225.10282760736516
Lr-inverse             3.2471984126591913e-07  -9.254607397131622       225.1028310507536
Lr-cramer              3.247198412625212e-07   -9.254607389010484       225.10282855999193
Lr-ridge               1.0303172581123723e-07  -0.1661655383004378        3.6303792275732114
Lr-conjugate-gradient  3.568618463783929e-15   -1.4194738749161614e-07    3.544623509071281e-06
Lr-gauss-seidel        1.5046870800487012e-15   2.4810358571790918e-11    3.886399849841517e-11
Lr-cholesky            9.202002832966468e-08   -0.01725286626046439     225.10282708786792

Bang 1: Cac he so a, b, c
Method                                      a                       b                       c
---------------------  ----------------------  ----------------------  ----------------------
Lr-inverse             3.1024501614528716e-07  -3.962056481424952      91.67405087314546
Lr-gauss-jordan        3.102450161723351e-07   -3.9620564818805386     91.67405088232181
Lr-svd                 3.102450162113356e-07   -3.962056482658177      91.67405090044403
Lr-lu                  3.102450161724401e-07   -3.9620564818826374     91.67405088237072
Lr-cramer              3.1024501614516513e-07  -3.962056482140722      91.67405086596318
Lr-ridge               1.293617821598191e-07   -0.35573096629396384     7.63172919535608
Lr-conjugate-gradient  7.579565662992443e-15   -1.376175826558517e-07   3.275588793387371e-06
Lr-gauss-seidel        2.744112280326962e-15    5.71111377583923e-11    9.920588191901497e-11
Lr-cholesky            9.061544310945525e-08   -0.028381006142386075   91.67405087379589

